month,0am,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,12pm,13pm,14pm,15pm,16pm,17pm,18pm,19pm,20pm,21pm,22pm,23pm,total
Jan,24,6,9,5,2,7,28,81,161,224,204,165,182,175,171,192,239,305,294,238,153,125,68,50,3108
Feb,35,16,14,4,4,12,30,115,266,329,221,212,235,286,281,317,329,426,354,321,223,160,105,72,4367
Mar,33,19,19,8,6,8,39,72,207,338,205,242,288,290,251,343,342,442,387,359,177,164,135,53,4427
Apr,89,69,41,15,17,64,72,164,397,413,248,350,380,505,527,466,645,733,652,534,362,292,196,149,7380
May,154,58,66,28,15,39,113,291,541,426,358,446,620,734,813,793,895,992,906,799,525,417,361,227,10617
Jun,54,42,35,22,10,51,128,311,727,553,391,401,566,635,508,610,748,957,969,774,485,384,249,135,9745
Jul,121,60,56,19,13,68,134,299,821,722,387,478,644,853,676,732,894,1250,1124,951,677,484,313,215,11991
Aug,90,44,49,27,21,38,160,410,771,580,372,481,717,791,815,829,951,1152,1165,839,547,479,328,200,11856
Sep,190,135,80,32,12,66,199,418,712,544,538,639,970,1003,1182,1151,1293,1332,1248,928,834,570,374,250,14700
Oct,164,97,51,21,8,59,156,352,609,460,444,586,867,793,907,942,1037,1130,1013,876,570,474,360,232,12208
Nov,88,54,38,18,12,10,118,217,406,319,297,395,513,610,660,566,682,687,646,556,428,341,230,148,8039
Dec,65,38,23,9,4,10,52,108,256,259,213,266,337,343,429,374,393,491,380,306,240,215,140,92,5043
